Book Results on 2018.Sep.17
Accession Date (YYYYMMDD),Accession #, Title,Author,# Times Checked Out
18750220,94,"An ecclesiastical history, ancient and modern : in which the rise, progress, and variations of church power, are considered in their connexion with the state of learning and philosophy, and the political history of Europe during that period.","Mosheim, Johann Lorenz, 1694?-1755.",3
18750220,95,"History of the conquest of Mexico : with a preliminary view of the ancient Mexican civilization, and the life of the conqueror, Hernando Cortes.","Prescott, William Hickling, 1796-1859.",2
18890928,6643,"John Quincy Adams.","Morse, John T. ‡q (John Torrey), ‡d 1840-1937.",5
18750220,96,"History of the reign of Ferdinand and Isabella the Catholic, of Spain.","Prescott, William Hickling, 1796-1859.",5
18890928,6644,"Alexander Hamilton.","Lodge, Henry Cabot, ‡d 1850-1924.",17
18890928,6645,"John Randolph.","Adams, Henry, ‡d 1838-1918.",3
18890928,6646,"Thomas Jefferson.","Morse, John T. ‡q (John Torrey), ‡d 1840-1937.",11
18890928,6647,"Daniel Webster.","Lodge, Henry Cabot, ‡d 1850-1924.",17
18890928,6648,"Henry Clay.","Schurz, Carl, ‡d 1829-1906.",2
18890928,6649,"Henry Clay.","Schurz, Carl, ‡d 1829-1906.",5
18980908,10852,"Stories by foreign authors : Russian.",,2
18980908,10853,"Stories by foreign authors : ‡b German.",,4
18980908,10854,"Stories by foreign authors : Scandinavian.",,2
18980908,10855,"Stories by foreign authors : Italian.",,3
18980908,10856,"Stories by foreign authors : ‡b Polish, Greek, Belgian, Hungarian.",,3
18750220,97,"History of the reign of Ferdinand and Isabella, the Catholic, of Spain.","Prescott, William Hickling, ‡d 1796-1859.",2
18750220,98,"History of the reign of Ferdinand and Isabella, the Catholic, of Spain.","Prescott, William Hickling, ‡d 1796-1859.",1
18750220,99,"The ancient history of the Eqyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Grecians, and Macedonians.","Rollins, Charles, ‡d 1661-1741.",4
18750220,100,"The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Grecians, and Macedonians.","Rollin, Charles, ‡d 1661-1741.",5
18750220,101,"The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Grecians, and Macedonians.","Rollin, Charles, ‡d 1661-1741.",1
18981023,10867,"A history of Greece from the earliest times to the present.","Timayenis, T. T. ‡q (Telemachus Thomas), ‡d b. 1853.",15
18750220,103,"The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Grecians, and Macedonians.","Rollin, Charles, ‡d 1661-1741.",1
18750220,105,"The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Grecians, and Macedonians.","Rollin, Charles, ‡d 1661-1741.",1
18981023,10868,"Doctor Claudius.","Crawford, F. Marion (Francis Marion), 1854-1909.",66
18750220,106,"A history of the Italian republic.","Sismondi, J.-C.-L. Simonde de ‡q (Jean-Charles-Leonard Simonde), ‡d 1773-1842.",1
18750220,107,"The history of England : from the revolution in 1688, to the death of George the Second.","Smollet, T. ‡q (Tobias), ‡d 1721-1771.",1
18750220,108,"History of the Northmen, or Danes and Normans : from the earliest times to the conquest of England by William of Normandy.","Wheaton, Henry, ‡d 1785-1848.",4
18750220,110,"Animal husbandry : being a series of essays on agriculture.","Gaylord, Willis, ‡d 1792-1844.",2
18750220,112,"Festivals, games, and amusements : ancient and modern.","Smith, Horace, ‡d 1779-1849.",1
18750220,114,"Universal geography, or, a description of all parts of the world, on a new plan, according to the great natural divisions of the globe.","Malte-Brun, Conrad, ‡d 1775-1826.",1
18980908,10857,"Stories by American authors : number 1.","Bayard Taylor",19
18980908,10858,"Stories by American authors : number 2.","F.R. Stockton",22
18980908,10859,"Stories by American authors : number 3.","F.H. Burnett. &c",18
18980908,10860,"Stories by American authors : number 4.","C.F. Woolson &c.",15
18890928,6650,"Patrick Henry.","Tyler, Moses Coit, ‡d 1835-1900.",5
18890928,6651,"Albert Gallatin.","Stevens, John Austin, ‡d 1827-1910.",1
18980908,10861,"Stories by American authors : number 5.","Henry James &c",8
18890928,6652,"Andrew Jackson as a public man : what he was, what chances he had, and what he did with them.","Sumner, William Graham, ‡d 1840-1910.",8
18980908,10862,"Stories by American authors : number 6.","C.H. White-",16
18890928,6653,"Ten acres enough : a practical experience, showing how a very small farm may be made to keep a very large family. With extensive and profitable experience in the cultivation of the smaller fruits.","Morris, Edmund, ‡d 1804-1874.",4
18980908,10863,"Stories by American authors : number 7.","Octave Thanet-",8
18980908,10864,"Stories by American authors : number 8.","J.W. De Forest",4
18980908,10865,"Stories by American authors : number 9.","Thos _ N. Page &c",8
18980908,10866,"Stories by American authors : number 10.","T A Janvier",4
18750220,116,"Universal geography, or, A description of all parts of the world, on a new plan, according to the great natural divisions of the globe.","Malte-Brun, Conrad, ‡d 1775-1826.",56
18750220,118,"Universal geography, or, A description of all parts of the world, on a new plan, according to the great natural divisions of the globe.","Malte-Brun, Conrad, ‡d 1775-1826.",84
18750220,119,"Universal geography, or, A description of all parts of the world, on a new plan, according to the great natural divisions of the globe.","Malte-Brun, Conrad, ‡d 1775-1826.",1
18750220,123,"The lives of the most eminent British painters and sculptors.","Cunningham, Allan, ‡d 1784-1842.",40
18750220,125,"Essays on property and labour : as connected with natural law and the constitution of society.","Lieber, Francis, ‡d 1800-1872.",18
18750220,126,"An apology for the true Christian divinity : being an explanation and vindication of the principles and doctrines of the people called Quakers.","Barclay, Robert, ‡d 1648-1690.",23
18981023,10869,"Blanche, Lady Falaise : ‡b a tale.","Shorthouse, J. H. ‡q (Joseph Henry), ‡d 1834-1903.",21
18981023,10870,"A woman intervenes, or, The mistress of the mine.","Barr, Robert, ‡d 1850-1912.",126
18981023,10871,"Mrs. Skaggs's husbands : ‡b and other sketches.","Harte, Bret, ‡d 1836-1902.",12
18981023,10872,"Souvenirs of Madame Vigée Le Brun.","VigeÌe-Lebrun, Louise-Elisabeth, ‡d 1755-1842.",1
18981023,10873,"Old Creole days.","Cable, George Washington, ‡d 1844-1925.",52
18981023,10874,"Trilby : ‡b a novel.","Du Maurier, George, ‡d 1834-1896.",34
18981023,10875,"Cathedral days : ‡b a tour through southern England.","Dodd, Anna Bowman, ‡d 1855-1929.",7
18750220,128,"Handbook for readers and students, intended as a help to individuals, associations, school districts and seminaries of learning, in the selection of works for reading, investigation, or professional study.","Potter, Alonzo, ‡d 1880-1865.",2
18890928,6654,"History of the civil war in America.","Paris, Louis-Philippe-Albert d'OrleÌans, ‡c comte de, ‡d 1838-1894.",7
18981023,10876,"Her fatal sin.","Holmes, Mary E.",26
18890928,6655,"History of the civil war in America.","Paris, Louis-Philippe-Albert d'OrleÌans, ‡c comte de, ‡d 1838-1894.",6
18750220,129,"Letters on demonology and witchcraft.","Scott, Walter, ‡d Sir, ‡d 1771-1832.",3
18890928,6656,"History of the civil war in America.","Paris, Louis-Philippe-Albert d'OrleÌans, ‡c comte de, ‡d 1838-1894.",2
18750220,130,"The works of the Rev. Robert Hall, A.M. : with a memoir of his life.","Hall, Robert, ‡d 1764-1831.",1
18890928,6657,"History of the civil war in America.","Paris, Louis-Philippe-Albert d'OrleÌans, ‡c comte de, ‡d 1838-1894.",3
18890928,6658,"Richard Cobden.","Gowing, Richard, ‡d d. 1899.",1
18750220,132,"The works of the Rev. Robert Hall, A.M. : with a memoir of his life.","Hall, Robert, ‡d 1764-1831.",34
18890928,6659,"Little women, or, Meg, Jo, Beth and Amy.","Alcott, Louisa May, ‡d 1832-1888.",115
18750220,133,"A master-key to popery: in five parts.","Gavin, Antonio, ‡d fl. 1726.",7
18890928,6660,"Little men : life at Plumfield with Jo's boys.","Alcott, Louisa May, ‡d 1832-1888.",144
18750220,134,"Encyclopaedia Americana : a popular dictionary of arts, sciences, literature, history, politics and biography.","Francis Lieber, Ed.",14
18890928,6661,"Eight cousins, or, The aunt-hill.","Alcott, Louisa May, 1832-1888.",83
18981023,10877,"The diary and letters of Frances Burney, Madame d'Arblay.","Burney, Fanny, 1752-1840.",2
18981023,10878,"The diary and letters of Frances Burney, Madame d'Arblay.","Burney, Fanny, 1752-1840.",5
18981023,10879,"Critical, historical, and miscellaneous essays and poems.","Macaulay, Thomas Babington Macaulay, Baron, 1800-1859.",8
18981023,10880,"Critical, historical, and miscellaneous essays and poems.","Macaulay, Thomas Babington Macaulay, Baron, 1800-1859.",4
18981023,10883,"The homes of the New world : impressions of America.","Bremer, Fredrika, 1801-1865.",1
18981023,10884,"The thousand and one nights, or, The Arabian nights' entertainments.",,41
18981023,10885,"Josiah Allen's wife as a P.A. and P.I. : Samantha at the Centennial : Designed as a bright and shining light to pierce the fogs of error and injustice that surround society and Josiah, and to bring more clearly to view the path that leads straight on to virtue and happiness.","Holley, Marietta, 1836-1926.",24
18981023,10886,"Beautiful gems of thought and sentiment : being a vast treasury of choice productions in poetry, prose and song from the literature and music of all ages.",,2
18981023,10887,"The Arabian nights' entertainment.","James Mason",6
18981023,10888,"The American authors of the South.",,2
18750220,135,"Encyclopaedia Americana : a popular dictionary of arts, sciences, literature, history, politics and biography.",,3
18750220,137,"Encyclopaedia Americana : a popular dictionary of arts, sciences, literature, history, politics and biography.",,2
18750220,138,"Encyclopaedia Americana : a popular dictionary of arts, sciences, literature, history, politics and biography.",,58
18750220,139,"Encyclopaedia Americana : a popular dictionary of arts, sciences, literature, history, politics and biography.",,2
18750220,142,"Encyclopaedia Americana : a popular dictionary of arts, sciences, literature, history, politics and biography.",,7
18890928,6662,"Rose in bloom : a sequel to ""Eight cousins"".","Alcott, Louisa May, ‡d 1832-1888.",63
18890928,6663,"Under the lilacs.","Alcott, Louisa May, ‡d 1832-1888.",93
18890928,6664,"Jack and Jill.","Alcott, Louisa May, ‡d 1832-1888.",65
18890928,6665,"An old-fashioned girl.","Alcott, Louisa May, ‡d 1832-1888.",154
18750220,145,"Riches have wings, or, A tale for the rich and poor. ","Arthur, T. S. (Timothy Shay), 1809-1885.",7
18890928,6666,"Jo's boys, and how they turned out :  a sequel to ""Little men"".","Alcott, Louisa May, ‡d 1832-1888.",92
18890928,6667,"Moods :  a novel.","Alcott, Louisa May, ‡d 1832-1888.",107
18750220,146,"The history of Rasselas, prince of Abyssinia : a tale.","Johnson, Samuel, ‡d 1709-1784.",13
18750220,147,"The story of the peasant-boy philosopher, or, ""A child gathering pebbles on the sea-shore.""","Mayhew, Henry, ‡d 1812-1887.",5
18981102,10891,"The Arena.","B.O. Flower, Editor",2
18981102,10892,"The Arena.","B.O. Flower, Editor",0
18981102,10893,"The Arena.","John Clark Ridpath",1
18981102,10894,"The Arena.","John Clark Ridpath",3
18981102,10895,"The Forum.",,5
18981102,10896,"The Forum.",,7
18981102,10897,"The Forum.",,3
18981102,10898,"The Forum.",,4
18981102,10899,"The Cosmopolitan.","J. Brisben Walker_Ed",7
18981102,10900,"The Cosmopolitan.","J. Brisben Walker_Ed",8
18981102,10901,"The Cosmopolitan.","J. Brisben Walker_Ed",8
18981102,10902,"The Cosmopolitan.","J. Brisben Walker_Ed",5
18981102,10903,"The North American review.","Lloyd Bryce_Ed",2
18981102,10904,"The North American review.",,8
18981102,10905,"The North American review.",,3
18981103,10907,"The Atlantic monthly : a magazine of literature, science, art and politics.",,8
18981103,10908,"The Atlantic monthly : a magazine of literature, science, art and politics.",,15
18981103,10909,"The Atlantic monthly : a magazine of literature, science, art and politics.",,9
18981103,10910,"Munsey's magazine.","Frank A Munsey",2
18981103,10911,"Munsey's magazine.","Frank A Munsey",3
18981103,10912,"Munsey's magazine.","Frank A Munsey",12
18981103,10913,"Munsey's magazine.",,8
18981103,10914,"St. Nicholas.","Mary Mapes Dodge",54
18981103,10915,"St. Nicholas.","Mary Mapes Dodge",48
18981103,10916,"The St. Nicholas.","Mary Mapes Dodge",51
18981103,10917,"St. Nicholas.","Mary Mapes Dodge",50
18981103,10918,"The North American review.","Lloyd Bryce",3
18750220,148,"Marcus; or, The boy-tamer.","Aimwell, Walter, ‡d 1822-1859.",10
18750220,149,"Passages from the diary of a late physician.","Warren, Samuel, 1807-1877.",1
18750220,150,"Novelties of the New world; or, The adventures and discoveries of the first explorers of North America.","Banvard, Joseph, ‡d 1810-1887.",1
18750220,152,"A journey through the Chinese empire.","Huc, Evariste Regis, ‡d 1813-1860.",2
18890928,6668,"Aunt Jo's scrap-bag : My boys, etc.","Alcott, Louisa May, ‡d 1832-1888.",107
18890928,6669,"Aunt Jo's scrap-bag : Shawl-straps.","Alcott, Louisa May, ‡d 1832-1888.",66
18890928,6671,"Aunt Jo's scrap-bag : my girls, etc.","Alcott, Louisa May, ‡d 1832-1888.",60
18890928,6672,"Aunt Jo's scrap-bag : Jimmy's cruise in the Pinafore, etc.","Alcott, Louisa May, ‡d 1832-1888.",38
18890928,6673,"Aunt Jo's scrap-bag : an old-fashioned Thanksgiving, etc.","Alcott, Louisa May, ‡d 1832-1888.",108
18750220,155,"A popular account of discoveries at Nineveh.","Layard, Austen Henry, Sir, 1817-1894.",1
18750220,156,"A visit to Europe in 1851.","Silliman, Benjamin, ‡d 1779-1864.",4
18750220,157,"Incidents of travel in Greece, Turkey, Russia, and Poland.","Stephens, John Lloyd, ‡d 1805-1852.",1
18890928,6674,"Ben-Hur : a tale of the Christ.","Wallace, Lew, ‡d 1827-1905.",19
18890928,6675,"Faith Gartney's girlhood.","Whitney, A. D. T. ‡q (Adeline Dutton Train), ‡d 1824-1906.",113
18890928,6676,"Hitherto : a story of yesterdays.","Whitney, A. D. T. ‡q (Adeline Dutton Train), ‡d 1824-1906.",138
